country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
Cyprus,5.62099981307983,1.3559380769729599,1.13136327266693,0.84471470117569,0.35511153936386103,0.271254301071167,0.0412379764020443,2017
Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035,2018
Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,2019
Cyprus,6.15899992,1.21279943,0.8059962390000001,1.0261245970000001,0.45938587200000003,0.227932334,0.051207144,2020
Czech Republic,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.10686,0.02652,2015
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2016
Czech Republic,6.60900020599365,1.35268235206604,1.4338852167129499,0.754444003105164,0.49094617366790794,0.0881067588925362,0.0368729270994663,2017
Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,2018
Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,2019
Czech Republic,6.9109001160000005,1.212322354,0.914430678,0.89456445,0.505744576,0.046325929,0.049803223,2020
Denmark,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,2015
Denmark,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.36171,0.44453000000000004,2016
Denmark,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2017
Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,2018
Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,2019
Denmark,7.645599842,1.326948524,0.955990791,0.979332566,0.665039897,0.24279339600000002,0.49526032799999997,2020
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015
Dominican Republic,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.21684,0.14234000000000002,2015
Dominican Republic,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.21286,0.12372000000000001,2016
Dominican Republic,5.230000019073491,1.07937383651733,1.4024167060852097,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017
Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,2018
Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,2019
Dominican Republic,5.6891999239999995,0.9831918479999999,0.882085383,0.7419016959999999,0.5628739,0.112196781,0.115945682,2020
Ecuador,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.11540999999999998,0.1809,2015
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2016
Ecuador,6.00799989700317,1.00082039833069,1.2861688137054401,0.685636222362518,0.4551981985569,0.15011246502399403,0.140134647488594,2017
Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,2019
Ecuador,5.925199986,0.853383601,0.836418986,0.838837743,0.555234551,0.115006477,0.086753383,2020
Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015
Egypt,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.12705999999999998,0.10393,2016
Egypt,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.28211015462875394,0.128631442785263,0.114381365478039,2017
Egypt,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,2018
Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,2019
Egypt,4.151400089,0.8752289409999999,0.7354478240000001,0.596911311,0.37368473399999996,0.068801254,0.095461793,2020
El Salvador,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.10692,0.11775999999999999,2015
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016
El Salvador,6.002999782562259,0.9097844958305359,1.1821250915527302,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2017
El Salvador,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999,2018
El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,2019
